row_id,KQI_Degradate_Flag,E_RAB_Estab.-SR,RRC_Recon._rate,RRC_Estab.-SR,DL_PRB_avg_Utilz._rate,Maximum_num_of_users,Mean_num_of_users,UL_PRB_avg_Utilz._rate,UE_Context_DR,E_RAB_Context_DR,DL_avg_Pckt_delay,Inner_HO-SR,X2_HO-SR,RSRP_Coverage_rate,CQI_up_seven,RSSI,Avg_distance
325,1,2,1,2,2,2,2,2,0,0,2,2,2,2,1,2,1
326,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
327,1,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,1
328,1,2,2,2,2,2,2,2,2,2,0,2,2,1,2,2,2
329,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1
330,1,2,2,2,2,2,2,2,0,0,2,2,2,1,2,2,2
331,1,2,2,2,2,2,2,2,0,0,2,2,2,0,2,2,2
332,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2
333,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
334,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
335,1,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2
336,1,2,2,2,2,2,2,2,2,2,2,2,2,0,1,2,2
337,1,2,2,2,2,2,2,2,1,0,2,2,2,0,2,2,0
338,1,2,0,2,2,2,2,2,2,2,2,2,2,0,1,2,1
339,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2
340,1,2,2,2,2,2,2,2,0,0,2,2,2,2,2,2,2
341,1,2,0,2,2,2,2,2,2,2,0,2,2,2,1,2,1
342,1,2,0,2,2,2,2,2,0,2,0,2,2,0,0,2,0
343,1,2,2,2,2,2,2,2,2,2,2,2,0,0,1,2,2
344,1,2,2,2,2,2,2,2,2,2,0,2,2,0,1,2,0
345,1,2,2,2,2,2,2,2,0,2,1,1,2,0,2,2,2
346,1,0,2,0,2,2,2,2,0,0,2,0,2,0,2,2,2
347,1,2,1,2,2,2,2,2,0,2,2,2,2,0,0,2,2
348,1,2,1,2,2,2,2,2,1,2,2,2,0,0,1,2,1
349,1,2,2,2,2,2,2,2,0,0,0,2,2,1,1,2,0
350,1,2,2,2,2,2,2,2,2,2,1,2,2,0,2,0,2
351,1,1,2,2,2,2,2,2,2,2,0,2,2,0,2,0,2
352,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
353,1,2,2,1,2,2,2,2,0,2,2,2,2,0,1,2,2
354,1,2,0,2,2,2,2,2,1,0,0,2,2,2,1,2,2
